P,G,X,CHF,gp_posterior_std_log,gridinterp_reference_kWm2,source
13499.438304022906,5765.827093337027,-0.30859393433022614,7109.643407740484,0.28421708979769483,7535.6833037788365,synthetic_gp_augmentation
10447.633976512014,293.243161345897,0.004545356865506167,4267.140648322399,0.06507850891079002,4301.0338914357635,synthetic_gp_augmentation
1942.7919585760658,2430.396174456554,0.7114894599359021,135.91709095151364,0.16026139198551426,149.89330295905864,synthetic_gp_augmentation
14172.978512806132,1257.0904388716065,0.5675636590652071,187.77704420516466,0.24702920961635683,185.73961928262494,synthetic_gp_augmentation
7879.3165342096845,3166.3078337255524,0.7762194126622473,108.82069000710942,0.24811220879429247,98.37795595324789,synthetic_gp_augmentation
2527.7731280785893,1448.5709672417677,-0.35817789324664606,14518.997145641004,0.10815795871484007,13305.201281536438,synthetic_gp_augmentation
11031.789568246963,2550.9915473837514,-0.3343013110890998,9008.480908264131,0.10761999195955062,8290.846395001548,synthetic_gp_augmentation
853.2228569988876,5800.914530556579,0.5684777886412589,996.2116902171127,0.2751175873697901,955.9602420811755,synthetic_gp_augmentation
4656.840862129631,4073.462262895373,0.708664575297715,311.31876420859874,0.1420425771469564,309.89029283977806,synthetic_gp_augmentation
2322.622688470903,351.42514858707943,0.1398234373118714,4434.795848975472,0.06047355881366831,4957.26217493769,synthetic_gp_augmentation
7113.13113091482,1293.5201452905733,-0.4166007550679957,7755.019284122772,0.2417918999177374,9728.552046128701,synthetic_gp_augmentation
6688.224974710344,7481.996438185567,-0.40661154349629447,21134.16650925432,0.0722754354068092,19524.569628935882,synthetic_gp_augmentation
8397.83531155281,825.3199419122277,0.33804049008739323,2756.5624021294584,0.08153552575400541,2883.2273832932783,synthetic_gp_augmentation
4546.21763273023,5080.742297677646,0.7860740903009582,206.44008799525437,0.14773551437174534,161.23680623170767,synthetic_gp_augmentation
6042.116245829387,5800.6240251095205,0.2588108765394801,1889.8621290303527,0.26877474546644875,2301.6748302242518,synthetic_gp_augmentation
10456.226479966737,1359.161432241442,0.7456609822328861,84.80062153627169,0.20285100280004018,80.7790751783687,synthetic_gp_augmentation
1827.8048357878686,2278.0021986703227,0.6653426562991294,194.65697699877367,0.2827560441517516,231.58256437098055,synthetic_gp_augmentation
319.0599491754002,2494.5762470736595,-0.2209120157628348,11449.964182752832,0.06496771687183926,12048.29818460652,synthetic_gp_augmentation
4047.8785413761548,7971.479924513788,0.44856033798360584,1976.6665690956947,0.09754147610195675,1820.6071267525979,synthetic_gp_augmentation
7359.10243560543,1716.5783617436582,0.6865044601333534,263.33935358953266,0.26754971247835885,331.1671513445143,synthetic_gp_augmentation
